8a,SAMResult
"Dawson Group, Inc.","Dawson Group, Inc."
Dawson Technical LLC,Dawson Technical LLC
"Dawson Federal, Inc.","Dawson Federal, Inc."
"Dawson Solutions, LLC","Dawson Solutions, LLC"
Dawson Enterprises LLC,"Dawson Enterprises, LLC"
Dawson Global,"Dawson Global, LLC"
"Pelatron, Inc.","PELATRON, INC."
Pacific LED and Energy Corporation,Not Listed on SAM
"Pelatron Technologies, LLC",Pelatron Technologies LLC
Ke`aki Technologies LLC (formerly Akimeka Technologies LLC),"KE'AKI Technologies, LLC"
"Laulima Government Solutions, LLC","Laulima Government Solutions, LLC"
"Kupono Government Services, LLC","KUPONO GOVERNMENT SERVICES, LLC"
"Kapili Services, LLC","Kapili Services, LLC"
"Po`okela Solutions, LLC","Po'okela Solutions, LLC"
"Kikaha Solutions, LLC","Kikaha Solutions, LLC"
"Pololei Solutions, LLC","Pololei Solutions, LLC"
Kukulu,"Kukulu, LLC"
Kuhana Associates LLC,"KUHANA ASSOCIATES, LLC"
Kili LLC,"Kili, LLC"
"Akahi Associates, LLC","Akahi Associates, LLC"
"Kako`o Services, LLC",Not listed on SAM
"GSI Pacific, Inc.",GSI Pacific Inc.
"GSI North America, Inc.",GSI North America Inc.
"GSI Global, Inc.",GSI Global Inc.
"GSI Americas, Inc.",GSI Americas Inc.
"GSI Atlantic, Inc.",Not listed on SAM
"GSI Technologies, Inc.",GSI Technologies Inc
Kalino LLC,KALINO LLC
Pohaku Pacific LLC,Pohaku Pacific LLC
"Soft Power Solutions, LLC","Soft Power Solutions, LLC"
"Interagency Readiness Solutions, LLC","INTERAGENCY READINESS SOLUTIONS, LLC"
"Broadleaf, Inc.","Broadleaf, Inc"
International Construction Inc.,"CONSTRUCTION OUTFITTERS INTERNATIONAL, INC."
"Hui Huliau Technology Services, LLC",HUI HULIAU
RRC Consulting Group,RRC CONSULTING GROUP INC
Information Technology Services,Not listed on SAM
"Ho`olaulima Government Solutions, LLC","Ho'Olaulima Government Solutions, LLC"
"The Hana Group, Inc.","Hana Group, Inc., The"
"HBC Management Services, Inc.","HBC MANAGEMENT SERVICES, INC."
"Hana Industries, Inc.","Hana Industries, Inc."
"JTSI, Inc.","JTSI, INC"
Total Network Solutions LLC,"TOTAL NETWORK SOLUTIONS, LLC"
Kai Honua LLC,Not listed on SAM
"KFS, LLC","KFS, LLC"
Na Alii Consulting & Sales LLC,NA Alii Consulting & Sales LLC
"TMGE, LLC",TMGE LLC
Greenpath Technologies Inc.,"GREENPATH TECHNOLOGIES, INC."
"Alu Like Enterprises, Inc.",Not listed on SAM
Honu`apo Facilities Services LLC,Not listed on SAM
Honu`apo I LLC,Not listed on SAM
Hawaii Resource Group LLC,HAWAII RESOURCE GROUP LLC
Hawaii 5-O Technology Services,"Hawaii 5-0 Technology Services, Inc."
Kokua Support Services Corporation,Kokua Support Services Corporation
